***NOUNS
l' albero,gli alberi:tree,trees
l' armadio,gli armadi:wardrobe,wardrobes
l' asciugacapelli,gli asciugacapelli:hair dryer,hair dryers
l' asciugamano,gli asciugamani:towel,towels
l' aria condizionata,null null:air-conditioning,null
la lampada,le lampade:lamp,lamps
la sedia,le sedie:chair,chairs
la camera singola,le camere singole:single room,single rooms
la camera doppia,le camere doppie:twin room,twin rooms
la camera matrimoniale,le camere matrimoniali:double room,double rooms
la coperta,le coperte:blanket,blankets
la valigia,le valigie:suitcase,suitcases
la lavatrice,le lavatrici:washing machine,washing machines
la doccia,le docce:shower,showers
la campagna,le campagne:countryside,countrysides
la villa,le ville:villa/residence,villas/residences
la colazione,le colazioni:breakfast,breakfasts
la cappella,le cappelle:chapel,chapels
la vacanza,le vacanze:holiday,holidays
la saponetta,le saponette:soap bar,soap bars
la carta igienica,le carte igieniche:toilet paper,toilet papers
l' aspetto,gli aspetti:appearance,appearances
l' occhio,gli occhi:eye,eyes
null null,gli occhiali:null,glasses
il naso,i nasi:nose,noses
il sorriso,i sorrisi:smile,smiles
l' orecchio,le orecchie:ear,ears
l' orecchino,gli orecchini:earing,earings
il capello,i capelli:hair,hair
la barba,le barbe:beard,beards
il baffo,i baffi:moustache,moustache
la casa,le case:house,houeses
il monolocale,i monolocali:studio flat,studio flats
l' appartamento,gli appartamenti:apartment,apartments
l' attico,gli attici:penthouse,penthouses
il condominio,i condomini:condominium,condominiums
il peperone,i peperoni:pepper,peppers
il pomodoro,i pomodori:tomato,tomatoes
la zucchina,le zucchine:zucchini,zucchini
il cetriolo,i cetrioli:cucumber,cucumbers
la cipolla,le cipolle:onion,onions
l' oliva,le olive:olive,olives
il broccolo,i broccoli:broccoli,broccoli
il fagiolo,i fagioli:bean,beans
la patata,le patate:potato,potatoes
la carota,le carote:carrot,carrots
il fungo,i funghi:mushroom,mushrooms
la zucca,le zucche:pumpkin,pumpkins
l' insalata,le insalate:salad,salads
la fragola,le fragole:strawberry,strawberries
il limone,i limoni:lemon,lemons
l' arancia,le arance:orange,oranges
la banana,le banane:banana,bananas
la ciliegia,le ciliegie:cherry,cherries
la pesca,le pesche:peach,peaches
il lampone,i lamponi:raspberry,raspberries
la bacca,le bacche:berry,berries
la pera,le pere:pear,pears
la prugna,le prugne:plum,plums
la bibita,le bibite:drink,drinks
il caffè,i caffè:coffee,coffees
il tè,i tè:tea,teas
la mela,le mele:apple,apples
il succo,i succhi:juice,juices
la spremuta,le spremute:fresh fruit juice,fresh fruit juices
lo spumante,gli spumanti:sparkling wine,sparkling wines
il vino bianco,i vini bianchi:white wine,white wines
il vino rosso,i vini rossi:red wine,red wines
il cornetto,i cornetti:croissant,croissants
lo strudel,gli strudel:strudel,strudels
il dessert,i dessert:desserts
la carne,le carni:meat,meats
il pesce,i pesci:fish,fish
il tonno,i tonni:tuna,tuna
il pollo,i polli:chicken,chicken
il prosciutto,i prosciutti:ham,hams
la salsiccia,le salsicce:sausage,sausages
lo spaghetto,gli spaghetti:spaghetti,spaghetti
la tagliatella,le tagliatelle:tagliatelle,tagliatelle
la lasagna,le lasagne:lasagne,lasagne
il toast,i toast:toasted sandwich,sandwiches
il formaggio,i formaggi:cheese,cheeses
la marmellata,le marmellate:jam,jams
il brodo,i brodi:soup,soups
la farina,le farine:flour,flours
l' uovo,le uova:egg,eggs
il gelato,i gelati:icecream,icecreams
la torta,le torte:cake,cakes
la panna,le panne:cream,creams
il divano,i divani:sofa,sofas
il forno,i forni:oven,ovens
la doccia,le docce:shower,showers
la scrivania,le scrivanie:desk,desks
la palestra,le palestre:gym,gyms
la lavastoviglie,le lavastoviglie:dishwasher,dishwashers
il lavandino,i lavandini:sink,sinks
il letto,i letti:bed,beds
la libreria,le librerie:bookcase,bookcases
il fornello,i fornelli:stove,stoves
il rubinetto,i rubinetti:tap,taps
il comodino,i comodini:nightstand,nightstands
la poltrona,le poltrone:armchair,armchairs
la coperta,le coperte:blanket,blankets
il frigorifero,i frigoriferi:refrigerator,refrigerators
il portapenne,i portapenne:penholder,penholders
la vasca,le vasce:bathtub,bathtubs
il luogo,i luoghi:place,Places
il pasto,i pasti:meal,meals
il piatto,i piatti:dish/plate,dishes/plates
la ricetta,le ricette:recipe,recipes
l' alimento,gli alimenti:foodstuff,foodstuffs
il prodotto,i prodotti:product,products
la verdura,le verdure:vegetable,vegetables
il frutto,la frutta:fruit,fruits
il panino,i panini:roll/sandwich,rolls/sandwiches
il pane,i pani:bread,breads
la panna,le panne:cream,creams
il biscotto,i biscotti:biscuit,biscuits
il burro,i burri:butter,butters
il prosciutto cotto:cooked ham
il prosciutto crudo:cured ham
la bistecca,le bistecche:steak,steaks
il salame,i salami:salami,salamis
il miele,i mieli:honey,honeys
lo zucchero,gli zuccheri:sugar,sugars
il sale,i sali:salt,salts
il cocomero,i cocomeri:watermelon,watermelons
la castagna,le castagne:chestnut,chestnuts
il mandarino,i mandarini:mandarin,mandarins
la carne macinata,le carni macinate:minced meat,minced meats
lo yogurt,gli yogurt:yoghurt,yoghurts
la famiglia,le famiglie:family,families
il matrimonio,i matrimoni:marriage,marriages
il parente,i parenti:relative,relatives
la quantità,le quantità:quantity,quantities
il genitore,i genitori:parent,parents
la madre,le madri:mother,mothers
il padre,i padri:father,fathers
il figlio,i figli:son,sons/children
la figlia,le figlie:daughter,daughters
il patrigno,i patrigni:stepfather,stepfathers
la matrigna,le matrigne:stepmother,stepmothers
il figliastro,i figliastri:stepson,stepsons/stepchildren
la figliastra,le figliastre:stepdaughter,stepdaughters
il marito,i mariti:husband,husbands
la moglie,le mogli:wife,wifes
il suocero,i suoceri:father-in-law,fathers-in-law/parents-in-law
la suocera,le suocere:mother-in-law,mothers-in-law
il genero,i generi:son-in-law,sons-in-law/children-in-law
la nuora,le nuore:daughter-in-law,daughters-in-law
il fratello,i fratelli:brother,brothers/siblings
la sorella,le sorelle:sister,sisters
lo zio,gli zii:uncle,uncles/aunts
la zia,le zie:aunt,aunts
il cugino,i cugini:cousin,cousins
la cugina,le cugine:cousin,cousins
il nonno,i nonni:grandfather,grandfathers/grandparents
la nonna,le nonne:grandmother,grandmothers
il nipote,i nipoti:nephew/grandson,nephews/grandchildren
la nipote,le nipoti:niece/granddaughter,nieces/granddaughters
il cognato,i cognati:brother-in-law,brothers-in-law
la cognata,le cognate:sister-in-law,sisters-in-law
il tavolo,i tavoli:table,tables
la camera,le camere:room/bedroom,rooms/bedrooms
il braccio,le braccia:arm,arms
il dito,le dita:finger,fingers
il ginocchio,le ginocchia:knee,knees
il labbro,le labbra:lip,lips
l' attività,le attività:activity,activities
il giardino,i giardini:garden,gardens
la passeggiata,le passeggiate:walk,walks
la musica,le musiche:music,musics
il fine settimana,i fine settimana:weekend,weekends
la settimana,le settimane:week,weeks
la sera,le sere:evening,evenings
la discoteca,le discoteche:disco,discos
il teatro,i teatri:theater,theaters
la domanda,le domande:question,questions
il francobollo,i francobolli:stamp,stamps
il soldo,i soldi:money,money
la torre,le torri:tower,towers
la canzone,le canzoni:song,songs
il fumetto,i fumetti:comic,comics
il filmo giallo,i film gialli:crime film,crime films
la piscina,le piscine:swimming pool,swimming pools
il ballo,i balli:dance,dances
la spesa,le spese:shopping/cost,shoppings/costs
il bidet,i bidet:bidet,bidets
il water,i water:toilet,toilets
la cucina,le cucine:kitchen,kitchens
il lavello,i lavelli:sink,sinks
il tappeto,i tappeti:carpet,carpets
il cestino,i cestini:trashcan,trashcans
il computer,i computer:computer,computers
la sala,le sale:hall/room,halls/rooms
il soggiorno,i soggiorni:living room,living rooms
la pianta,le piante:plant,plants
il cibo,i cibi:food,foods
lo spincaio,gli spinaci:spinach,spinach
la lattuga,le lattughe:lettuce,lettuces
la rucola,le rucole:rocket,rockets
l' aglio,gli agli:garlic,garlics
il mais:sweetcorn
l' uva,l' uva:grape,grapes
l' ananas,gli ananas:pineapple,pineapples
il ghiaccio,i ghiacci:ice,ices
l' acqua,le acque:water,waters
il latte,null null:milk,null
il riso,i risi:rice,rices
la pentola,le pentole:pot,pots
il coperchio,i coperchi:lid,lids
la padella,le padelle:pan,pans
il mestolo,i mestoli:ladle,ladles
il colino,i colini:colander,colanders
il matterello,i matterelli:rolling pin,rolling pins
il cavatappi,i cavatappi:corkscrew,corkscrews
il vassoio,i vassoi:tray,trays
la ciotola,le ciotole:bowl,bowls
la posata,le posate:cutlery,cutleries
il cucchiaio,i cucchiai:spoon,spoons
il cucchiaino,i cucchiaini:tea spoon,tea spoons
la forchetta,le forchette:fork,forks
il coltello,i coltelli:knife,knifes
il bicchiere,i bicchieri:glass,glasses
il piatto,i piatti:plate,plates
la vacanza,le vacanze:holiday,holidays
l' autobus,gli autobus:bus,buses
la fermata,le fermate:bus stop,bus stops
la ferrovia,le ferrovie:railway,railways
la vasca,le vasche:tub,tubs
lo scivolo,gli scivoli:slide,slides
l' altalena,le altalene:swing,swings
la statua,le statue:statue,statues
il dintorno,i dintorni:surrounding,surroundings
il fango,i fanghi:mud,muds
l' escursione,gli escursioni:excursion,excursions
la tappa,le tappe:stage,stages
la cartolina,le cartoline:postcard,postcard
il viaggio,i viaggi:journey,journeys
il convento,i conventi:convent,convents
l' idea,le idee:idea,ideas
la partenza,le partenze:departure,departures
la sosta,le soste:stop,stops
il volo,i voli:flight,flights
l' alloggio,gli alloggi:accommodation,accommodations
il servizio,i servizi:service,services
il reparto,i reparti:department,departments
la cura,le cure:treatment,treatments
il massaggio,i massaggio:massage,massages
la sauna,le saune:sauna,saunas
la dieta,le diete:diet,diets
la guida,le guide:direction/guide,directions/guides
il corpo,i corpi:body,bodies
il silenzio,i silenzi:silence,silences
la natura,le nature:nature,natures
la giornata,le giornate:day,days
la mattina,le mattine:morning,mornings
il pomeriggio,i pomeriggi:afternoon,afternoons
il cratere,i crateri:crater,craters
lo spettacolo,gli spettacoli:show,shows
la spiaggia,le spiagge:beach,beaches
la barca,le barche:boat,boats
il vaporetto,i vaporetti:ferry boat,ferry boats
il bacio,i baci:kiss,kisses
la tenda,le tende:tent,tents
il sole,i soli:sun,suns
lo schema,gli scheme:outline/plan,outlines/plans
la volta,le volte:time,times
il passato,i passati:past,pasts
la pinacoteca,le pinacoteche:art gallery,art galleries
l' abitudine,gli abitudini:habit,habits
l' abitante,gli abitanti:inhabitant,inhabitants
il vigneto,i vigneti:vineyard,vineyards
il giorno,i giorni:day,days
il lunedì,i lunedì:Monday,Mondays
il martedì,i martedì:Tuesday,Tuesdays
il mercoledì,i mercoledì:Wednesday,Wednesdays
il giovedì,i giovedì:Thursday,Thursdays
il venerdì,i venerdì:Friday,Fridays
il sabato,i sabati:Saturday,Saturdays
la domenica,le domeniche:Sunday,Sundays
il mese,i mesi:month,months
